"Артикул";"Ozon Product ID";"FBO OZON SKU ID";"FBS OZON SKU ID";"Barcode";"Наименование товара";"Бренд";"Статус товара";"Видимость FBO";"Причины скрытия FBO (при наличии)";"Видимость FBS";"Причины скрытия FBS (при наличии)";"Дата создания";"Коммерческая категория";"Объем товара, л";"Объемный вес, кг";"Доступно на складе Ozon, шт";"Зарезервировано, шт";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, руб.";"Цена до скидки (перечеркнутая цена), руб.";"Цена Premium, руб.";"Рыночная цена, руб.";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"manlixeofndu8wpier7t";"105074014";"0";"0";;"LUXVISAGE Лак для ногтей Galactic с блестками, тон 221 Золотистый с глиттером";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:55";"Лак для ногтей";"'0.04";"'0.0";"0";"0";"0";"0";;;;;;"0%"
"14";"105074015";"0";"0";;"LUXVISAGE Румяна для лица Color Hit матовые компактные, тон 18 розовый теплый";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:55";"Румяна";"'0.12";"'0.0";"0";"0";"0";"0";;;;;;"0%"
"15";"105074016";"0";"0";;"LUXVISAGE Румяна для лица Color Hit матовые компактные, тон 19 медный";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:55";"Румяна";"'0.12";"'0.0";"0";"0";"0";"0";;;;;;"0%"
"16";"105074017";"0";"0";;"LUXVISAGE Румяна для лица Color Hit матовые компактные, тон 14 пепельно-розовый";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:55";"Румяна";"'0.12";"'0.0";"0";"0";"0";"0";;;;;;"0%"
"11";"108057260";"300376092";"300376095";;"Bernovich Тени-хайлайтер (хайлайтер) H-2 7г";"BERNOVICH";"Готов к продаже";"Показывается";;"Показывается";;"2021-08-08 05:07:11";"Хайлайтер, иллюминатор";"'0.10";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"17";"108057261";"300376090";"300376094";;"Bernovich Тени-хайлайтер (хайлайтер) H-15 7г";"BERNOVICH";"Готов к продаже";"Показывается";;"Показывается";;"2021-08-08 05:07:11";"Хайлайтер, иллюминатор";"'0.10";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"18";"108057262";"300376096";"300376097";;"Bernovich Тени-хайлайтер (хайлайтер) H-16 7г";"BERNOVICH";"Готов к продаже";"Показывается";;"Показывается";;"2021-08-08 05:07:11";"Хайлайтер, иллюминатор";"'0.10";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"19";"108057264";"300376091";"300376093";;"Bernovich Тени-хайлайтер (хайлайтер) H-17 7г";"BERNOVICH";"Готов к продаже";"Показывается";;"Показывается";;"2021-08-08 05:07:11";"Хайлайтер, иллюминатор";"'0.10";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"33";"108058293";"0";"0";;"Bernovich Тени-хайлайтер (хайлайтер) H-8 7г";"BERNOVICH";"Не продается";"Скрыт";;"Скрыт";;"2021-08-08 05:12:07";"Хайлайтер, иллюминатор";"'0.10";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"30";"108058294";"0";"0";;"Bernovich Тени-хайлайтер (хайлайтер) H-11 7г";"BERNOVICH";"Не продается";"Скрыт";;"Скрыт";;"2021-08-08 05:12:07";"Хайлайтер, иллюминатор";"'0.10";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"35";"108058295";"300376264";"300376266";;"Bernovich Тени-хайлайтер (хайлайтер) H-9 7г";"BERNOVICH";"Готов к продаже";"Показывается";;"Показывается";;"2021-08-08 05:12:07";"Хайлайтер, иллюминатор";"'0.10";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"32";"108058296";"300376265";"300376267";;"Bernovich Тени-хайлайтер (хайлайтер) H-1 7г";"BERNOVICH";"Готов к продаже";"Показывается";;"Показывается";;"2021-08-08 05:12:07";"Хайлайтер, иллюминатор";"'0.10";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"31";"108058299";"0";"0";;"Bernovich Тени-хайлайтер (хайлайтер) H-10 7г";"BERNOVICH";"Не продается";"Скрыт";;"Скрыт";;"2021-08-08 05:12:08";"Хайлайтер, иллюминатор";"'0.10";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"34";"108058300";"0";"0";;"Bernovich Тени-хайлайтер (хайлайтер) H-7 7г";"BERNOVICH";"Не продается";"Скрыт";;"Скрыт";;"2021-08-08 05:12:08";"Хайлайтер, иллюминатор";"'0.10";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"42";"108059021";"0";"0";;"Bernovich Хайлайтер H10";"BERNOVICH";"Не продается";"Скрыт";;"Скрыт";;"2021-08-08 05:22:14";"Хайлайтер, иллюминатор";"'0.06";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"41";"108059022";"0";"0";;"BERNOVICH Хайлайтер H7";"BERNOVICH";"Не продается";"Скрыт";;"Скрыт";;"2021-08-08 05:22:14";"Хайлайтер, иллюминатор";"'0.00";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"40";"108059023";"0";"0";;"BERNOVICH Хайлайтер H8";"BERNOVICH";"Не продается";"Скрыт";;"Скрыт";;"2021-08-08 05:22:14";"Хайлайтер, иллюминатор";"'0.00";"'0.0";"0";"0";"0";"0";"499.00";;;;;"0%"
"KR-00012052";"125648965";"325242068";"325242097";;"Очищающая МАСКА-ШИПУЧКА для лица КИСЛОРОДНАЯ БОМБА, 2х7мл., саше,,VITAMIN ACTIVE,,";"VITAMIN ACTIVE";"Продается";"Показывается";;"Показывается";;"2021-09-21 09:52:56";"Сыворотки и дополнительный уход для лица";"'0.50";"'0.3";"0";"0";"99";"0";"71.00";;;;;"0%"
"4810151021405";"125649866";"325244182";"325244216";;"Мезопилинг-скатка для лица Глубокое очищение 100мл,,MEZOcomplex,,";"Белита Cosmetics";"Не продается";"Скрыт";"Отсутствие документов на бренд
Название бренда искажено, внесите исправления";"Скрыт";"Отсутствие документов на бренд
Название бренда искажено, внесите исправления";"2021-09-21 09:55:14";"Крем, гель детский";"'0.50";"'0.3";"0";"0";"0";"0";"364.00";;;;;"0%"
